Date,1688.T,8001.T,ADM,AGRO,AGRO3.SA,BG,CF,DBA,FDP,INGR,KRBL.NS,MOS,NTR,VC2.SI,VFF,YAR.OL,Futures
2023-01-05,628.2999877929688,735.5506591796875,75.90105438232422,6.965299129486084,22.266571044921875,84.80823516845703,77.71733093261719,17.415685653686523,23.863388061523438,89.50987243652344,380.888671875,40.644187927246094,67.52544403076172,1.256525993347168,1.4299999475479126,374.163818359375,1737.5
2023-01-06,640.0,730.5770874023438,77.45098114013672,7.360429286956787,22.435928344726562,87.93917846679688,78.30177307128906,17.344743728637695,24.150787353515625,91.30042266845703,376.3014221191406,42.49950408935547,70.07168579101562,1.3159562349319458,1.4299999475479126,380.3915710449219,1749.5
2023-01-09,640.0,730.5770874023438,76.92832946777344,7.2869157791137695,22.4278621673584,89.2315902709961,79.77670288085938,17.406816482543945,23.953201293945312,90.28516387939453,382.0111083984375,42.92695999145508,69.65486145019531,1.3074662685394287,1.3899999856948853,382.6335754394531,1764.0
2023-01-10,618.2000122070312,740.3402099609375,77.70327758789062,7.360429286956787,22.492380142211914,88.74920654296875,76.99378967285156,17.220600128173828,24.078937530517578,91.15276336669922,378.0582580566406,40.77151870727539,67.34420013427734,1.358406662940979,1.399999976158142,378.315673828125,1771.0
2023-01-11,621.9000244140625,746.9718017578125,78.1087875366211,7.38799524307251,22.879486083984375,89.61384582519531,77.96780395507812,17.176265716552734,24.312456130981445,91.65116119384766,386.2567443847656,41.12621307373047,67.13579559326172,1.3414264917373657,1.4700000286102295,376.4888610839844,1747.0
2023-01-12,626.0,746.9718017578125,78.74858093261719,7.6361002922058105,22.51657485961914,91.5069808959961,80.06427001953125,17.291542053222656,24.7705020904541,92.64794921875,384.1095275878906,42.72687911987305,69.10211944580078,1.3414264917373657,1.5499999523162842,379.0630187988281,1778.0
2023-01-13,625.7999877929688,746.05078125,79.65872192382812,7.700423240661621,22.82303237915039,91.39775085449219,80.62086486816406,17.318143844604492,25.138736724853516,92.43568420410156,388.5991516113281,42.12662887573242,68.11443328857422,1.3414264917373657,1.5399999618530273,375.0772399902344,1787.0
2023-01-17,620.5,748.8138427734375,79.37935638427734,7.76474666595459,23.492401123046875,92.10768127441406,79.77670288085938,17.380216598510742,25.201602935791016,96.39523315429688,388.8919677734375,42.97243881225586,69.1111831665039,1.3414264917373657,1.649999976158142,379.9764099121094,1793.5
2023-01-18,644.4000244140625,758.0243530273438,76.59491729736328,7.700423240661621,23.1617488861084,89.0950698852539,78.5058364868164,17.264938354492188,24.348379135131836,94.42008209228516,396.1632385253906,42.79964065551758,70.08981323242188,1.3329365253448486,1.559999942779541,378.56475830078125,1797.0
2023-01-19,621.7999877929688,748.6296997070312,76.874267578125,7.682044982910156,23.548852920532227,89.55013275146484,79.2108383178711,17.167396545410156,24.42022705078125,94.58618927001953,394.21124267578125,42.490421295166016,69.07493591308594,1.3244463205337524,1.5399999618530273,370.9253845214844,1791.0
2023-01-20,623.2999877929688,751.20849609375,76.36963653564453,7.626911640167236,23.492401123046875,88.6763916015625,80.22196197509766,17.211732864379883,24.474117279052734,94.28162384033203,388.5015563964844,43.663631439208984,71.42182922363281,1.3244463205337524,1.6100000143051147,367.5209045410156,1811.0
2023-01-23,626.5999755859375,760.4191284179688,76.0091781616211,7.580965518951416,23.524658203125,87.05632781982422,79.3314437866211,17.185131072998047,24.28550910949707,93.41403198242188,389.52642822265625,43.97284698486328,71.675537109375,1.3244463205337524,1.6799999475479126,370.4271545410156,1822.5
2023-01-24,622.0,774.23486328125,77.28878021240234,7.700423240661621,23.6456298828125,87.89366912841797,78.79340362548828,17.30040740966797,24.402267456054688,93.53401184082031,386.8423767089844,44.07289505004883,71.32215881347656,1.3244463205337524,1.6200000047683716,369.1816101074219,1822.5
2023-01-25,630.9000244140625,766.498046875,77.10855102539062,7.838259220123291,23.87143898010254,88.17581176757812,77.69878387451172,17.344743728637695,24.689668655395508,94.61389923095703,387.427978515625,43.7454833984375,71.79336547851562,1.3414264917373657,1.5099999904632568,365.5279846191406,1816.0
2023-01-26,624.9000244140625,766.3139038085938,76.50482177734375,7.838259220123291,24.371450424194336,90.7879638671875,78.94182586669922,17.58416748046875,24.528005599975586,94.7523422241211,387.427978515625,44.72771072387695,74.05870819091797,1.3753867149353027,0.9459999799728394,370.8423767089844,1831.0
2023-01-27,633.0,774.7875366210938,75.36038208007812,7.718801021575928,23.831117630004883,88.83111572265625,77.06800079345703,17.61963653564453,24.510040283203125,93.5524673461914,379.52227783203125,45.02783203125,73.22504425048828,1.358406662940979,0.9769999980926514,373.0013122558594,1831.0
2023-01-30,635.5,771.4716796875,74.1168441772461,7.682044982910156,23.718212127685547,88.34874725341797,76.71550750732422,17.717178344726562,24.842350006103516,93.6170883178711,374.6910095214844,44.109275817871094,72.1920394897461,1.3329365253448486,1.0099999904632568,368.10211181640625,1812.0
2023-01-31,643.0,770.5505981445312,74.65751647949219,7.76474666595459,24.032733917236328,90.19635772705078,78.57076263427734,17.93886375427246,25.68659782409668,94.88156127929688,384.8903503417969,45.055118560791016,75.01920318603516,1.3499165773391724,1.0800000429153442,367.02264404296875,1782.5
